engine_id,cycle,true_label,majority_pred,weighted_pred,risk_pred,risk_level,mean_prob,fault_fraction
71,1,0,0,0,0,SAFE,0.000328824336,0.0
71,2,0,0,0,0,SAFE,0.000349484608,0.0
71,3,0,0,0,0,SAFE,0.0004906144658,0.0
71,4,0,0,0,0,SAFE,0.0005993433908000001,0.0
71,5,0,0,0,0,SAFE,0.000364971106,0.0
71,6,0,0,0,0,SAFE,0.000365184666,0.0
71,7,0,0,0,0,SAFE,0.0005484976100000001,0.0
71,8,0,0,0,0,SAFE,0.00028032378200000004,0.0
71,9,0,0,0,0,SAFE,0.0001575853412,0.0
71,10,0,0,0,0,SAFE,0.00019824854799999997,0.0
71,11,0,0,0,0,SAFE,0.000190141886,0.0
71,12,0,0,0,0,SAFE,0.000235770626,0.0
71,13,0,0,0,0,SAFE,0.000252382806,0.0
71,14,0,0,0,0,SAFE,0.00022477326399999997,0.0
71,15,0,0,0,0,SAFE,0.00018892719219999998,0.0
71,16,0,0,0,0,SAFE,0.000294616648,0.0
71,17,0,0,0,0,SAFE,0.00022023606720000002,0.0
71,18,0,0,0,0,SAFE,0.00024628495000000004,0.0
71,19,0,0,0,0,SAFE,0.0002514310272,0.0
71,20,0,0,0,0,SAFE,0.000242016704,0.0
71,21,0,0,0,0,SAFE,0.000230048174,0.0
71,22,0,0,0,0,SAFE,0.00021561718800000001,0.0
71,23,0,0,0,0,SAFE,0.00026314286799999996,0.0
71,24,0,0,0,0,SAFE,0.00041020328099999995,0.0
71,25,0,0,0,0,SAFE,0.000392135126,0.0
71,26,0,0,0,0,SAFE,0.000285261086,0.0
71,27,0,0,0,0,SAFE,0.000160237258,0.0
71,28,0,0,0,0,SAFE,0.00021657663720000002,0.0
71,29,0,0,0,0,SAFE,0.000324068609,0.0
71,30,0,0,0,0,SAFE,0.0003327794992,0.0
71,31,0,0,0,0,SAFE,0.000265183026,0.0
71,32,0,0,0,0,SAFE,0.0005504916852,0.0
71,33,0,0,0,0,SAFE,0.00022131430400000002,0.0
71,34,0,0,0,0,SAFE,0.000373288727,0.0
71,35,0,0,0,0,SAFE,0.000561045724,0.0
71,36,0,0,0,0,SAFE,0.00046730706200000005,0.0
71,37,0,0,0,0,SAFE,0.0002617699252,0.0
71,38,0,0,0,0,SAFE,0.000287879152,0.0
71,39,0,0,0,0,SAFE,0.00019055889,0.0
71,40,0,0,0,0,SAFE,0.00019869299479999999,0.0
71,41,0,0,0,0,SAFE,0.00024405125,0.0
71,42,0,0,0,0,SAFE,0.000216001622,0.0
71,43,0,0,0,0,SAFE,0.00027869783,0.0
71,44,0,0,0,0,SAFE,0.00035943128000000003,0.0
71,45,0,0,0,0,SAFE,0.00028705728399999996,0.0
71,46,0,0,0,0,SAFE,0.00019291012119999998,0.0
71,47,0,0,0,0,SAFE,0.00023139568700000004,0.0
71,48,0,0,0,0,SAFE,0.0002103459272,0.0
71,49,0,0,0,0,SAFE,0.00016807340920000003,0.0
71,50,0,0,0,0,SAFE,0.0001844760092,0.0
71,51,0,0,0,0,SAFE,0.000174643892,0.0
71,52,0,0,0,0,SAFE,0.0001557401208,0.0
71,53,0,0,0,0,SAFE,0.000250196556,0.0
71,54,0,0,0,0,SAFE,0.00017088339919999997,0.0
71,55,0,0,0,0,SAFE,0.00018060039600000002,0.0
71,56,0,0,0,0,SAFE,0.000247838354,0.0
71,57,0,0,0,0,SAFE,0.00026478553,0.0
71,58,0,0,0,0,SAFE,0.000285945094,0.0
71,59,0,0,0,0,SAFE,0.0002137142512,0.0
71,60,0,0,0,0,SAFE,0.0002626385708,0.0
71,61,0,0,0,0,SAFE,0.00017807971100000002,0.0
71,62,0,0,0,0,SAFE,0.00031001725800000005,0.0
71,63,0,0,0,0,SAFE,0.000247053052,0.0
71,64,0,0,0,0,SAFE,0.000244811822,0.0
71,65,0,0,0,0,SAFE,0.000214914944,0.0
71,66,0,0,0,0,SAFE,0.00020494989779999999,0.0
71,67,0,0,0,0,SAFE,0.000244994639,0.0
71,68,0,0,0,0,SAFE,0.00022363581600000002,0.0
71,69,0,0,0,0,SAFE,0.00019934234,0.0
71,70,0,0,0,0,SAFE,0.00019709796079999997,0.0
71,71,0,0,0,0,SAFE,0.00019412460799999998,0.0
71,72,0,0,0,0,SAFE,0.00021179377700000004,0.0
71,73,0,0,0,0,SAFE,0.000254648234,0.0
71,74,0,0,0,0,SAFE,0.00025004961,0.0
71,75,0,0,0,0,SAFE,0.00022384547199999998,0.0
71,76,0,0,0,0,SAFE,0.000225927896,0.0
71,77,0,0,0,0,SAFE,0.000161091126,0.0
71,78,0,0,0,0,SAFE,0.0001526422292,0.0
71,79,0,0,0,0,SAFE,0.000217656728,0.0
71,80,0,0,0,0,SAFE,0.000166538694,0.0
71,81,0,0,0,0,SAFE,0.0003524730702,0.0
71,82,0,0,0,0,SAFE,0.000213501595,0.0
71,83,0,0,0,0,SAFE,0.00025956191,0.0
71,84,0,0,0,0,SAFE,0.0001751156524,0.0
71,85,0,0,0,0,SAFE,0.00028610092399999996,0.0
71,86,0,0,0,0,SAFE,0.0003812357288,0.0
71,87,0,0,0,0,SAFE,0.00021510790999999997,0.0
71,88,0,0,0,0,SAFE,0.000250660648,0.0
71,89,0,0,0,0,SAFE,0.000184781656,0.0
